,Team,Conference,Current coach,Since,
,Duke Blue Devils,,Atlantic Coast Conference,,Mike Krzyzewski,,1980–81,
,Duquesne Dukes,,Atlantic 10 Conference,,Keith Dambrot,,2017–18,
,East Carolina Pirates,,American Athletic Conference,,Joe Dooley,,2018–19[b],
,East Tennessee State Buccaneers,,Southern Conference,,Steve Forbes,,2015–16,
,Eastern Illinois Panthers,,Ohio Valley Conference,,Jay Spoonhour,,2012–13,
,Eastern Kentucky Colonels,,Ohio Valley Conference,,A.W. Hamilton,,2018–19,
,Eastern Michigan Eagles,,Mid-American Conference,,Rob Murphy,,2011–12,
,Eastern Washington Eagles,,Big Sky Conference,,Shantay Legans,,2017–18,
,Elon Phoenix,,Colonial Athletic Association,,Matt Matheny,,2009–10,
,Evansville Purple Aces,,Missouri Valley Conference,,Walter McCarty,,2018–19,
,Fairfield Stags,,Metro Atlantic Athletic Conference,,Sydney Johnson,,2011–12,
,Fairleigh Dickinson Knights,,Northeast Conference,,Greg Herenda,,2013–14,
,Florida Gators,,Southeastern Conference,,Michael White,,2015–16,
,Florida A&M Rattlers,,Mid-Eastern Athletic Conference,,Robert McCullum,,2017–18,
,Florida Atlantic Owls,,Conference USA,,Dusty May,,2018–19,
,Florida Gulf Coast Eagles,,Atlantic Sun Conference,,Michael Fly,,2018–19,
,Florida International Panthers,,Conference USA,,Jeremy Ballard,,2018–19,
,Florida State Seminoles,,Atlantic Coast Conference,,Leonard Hamilton,,2002–03,
,Fordham Rams,,Atlantic 10 Conference,,Jeff Neubauer,,2015–16,
,Fresno State Bulldogs,,Mountain West Conference,,Justin Hutson,,2018–19,
,Furman Paladins,,Southern Conference,,Bob Richey,,2017–18,
,Gardner–Webb Runnin' Bulldogs,,Big South Conference,,Tim Craft,,2013–14,
,George Mason Patriots,,Atlantic 10 Conference,,Dave Paulsen,,2015–16,
,George Washington Colonials,,Atlantic 10 Conference,,Maurice Joseph,,2016–17,
,Georgetown Hoyas,,Big East Conference,,Patrick Ewing,,2017–18,
,Georgia Bulldogs,,Southeastern Conference,,Tom Crean,,2018–19,
,Georgia Southern Eagles,,Sun Belt Conference,,Mark Byington,,2013–14,
,Georgia State Panthers,,Sun Belt Conference,,Ron Hunter,,2011–12,
,Georgia Tech Yellow Jackets,,Atlantic Coast Conference,,Josh Pastner,,2016–17,
,Gonzaga Bulldogs,,West Coast Conference,,Mark Few,,1999–2000,
,Grambling State Tigers,,Southwestern Athletic Conference,,Donte Jackson,,2017–18,
,Grand Canyon Antelopes,,Western Athletic Conference,,Dan Majerle,,2013–14,
,Green Bay Phoenix,,Horizon League,,Linc Darner,,2015–16,
,Hampton Pirates,,Big South Conference,,Edward Joyner,,2009–10,
,Hartford Hawks,,America East Conference,,John Gallagher,,2010–11,
,Harvard Crimson,,Ivy League,,Tommy Amaker,,2007–08,
,Hawaii Rainbow Warriors,,Big West Conference,,Eran Ganot,,2015–16,
,High Point Panthers,,Big South Conference,,Tubby Smith,,2018–19,
,Hofstra Pride,,Colonial Athletic Association,,Joe Mihalich,,2013–14,
,Holy Cross Crusaders,,Patriot League,,Bill Carmody,,2015–16,
,Houston Cougars,,American Athletic Conference,,Kelvin Sampson,,2014–15,
,Houston Baptist Huskies,,Southland Conference,,Ron Cottrell,,2007–08,
,Howard Bison,,Mid-Eastern Athletic Conference,,Kevin Nickelberry,,2010–11,
,Idaho Vandals,,Big Sky Conference,,Don Verlin,,2008–09,
,Idaho State Bengals,,Big Sky Conference,,Bill Evans,,2012–13,
,Illinois Fighting Illini,,Big Ten Conference,,Brad Underwood,,2017–18,
,Illinois State Redbirds,,Missouri Valley Conference,,Dan Muller,,2012–13,
,Incarnate Word Cardinals,,Southland Conference,,Carson Cunningham,,2018–19,
,Indiana Hoosiers,,Big Ten Conference,,Archie Miller,,2017–18,
,Indiana State Sycamores,,Missouri Valley Conference,,Greg Lansing,,2010–11,
,Iona Gaels,,Metro Atlantic Athletic Conference,,Tim Cluess,,2010–11,
,Iowa Hawkeyes,,Big Ten Conference,,Fran McCaffery,,2010–11,
,Iowa State Cyclones,,Big 12 Conference,,Steve Prohm,,2015–16,
,IUPUI Jaguars,,Horizon League,,Jason Gardner,,2014–15,
,Jackson State Tigers,,Southwestern Athletic Conference,,Wayne Brent,,2013–14,
,Jacksonville Dolphins,,Atlantic Sun Conference,,Tony Jasick,,2014–15,
,Jacksonville State Gamecocks,,Ohio Valley Conference,,Ray Harper,,2016–17,
,James Madison Dukes,,Colonial Athletic Association,,Louis Rowe,,2016–17,
,Kansas Jayhawks,,Big 12 Conference,,Bill Self,,2003–04,
,Kansas State Wildcats,,Big 12 Conference,,Bruce Weber,,2012–13,
,Kennesaw State Owls,,Atlantic Sun Conference,,Al Skinner,,2015–16,
,Kent State Golden Flashes,,Mid-American Conference,,Rob Senderoff,,2011–12,
,Kentucky Wildcats,,Southeastern Conference,,John Calipari,,2009–10,
,La Salle Explorers,,Atlantic 10 Conference,,Ashley Howard,,2018–19,
,Lafayette Leopards,,Patriot League,,Fran O'Hanlon,,1995–96,
,Lamar Cardinals,,Southland Conference,,Tic Price,,2014–15,
,Lehigh Mountain Hawks,,Patriot League,,Brett Reed,,2007–08,
,Liberty Flames,,Atlantic Sun Conference,,Ritchie McKay,,2015–16,
,Lipscomb Bisons,,Atlantic Sun Conference,,Casey Alexander,,2013–14,
,Little Rock Trojans,,Sun Belt Conference,,Darrell Walker,,2018–19,
,LIU Brooklyn Blackbirds,,Northeast Conference,,Derek Kellogg,,2017–18,
,Long Beach State 49ers,,Big West Conference,,Dan Monson,,2007–08,
,Longwood Lancers,,Big South Conference,,Griff Aldrich,,2018–19,
,Louisiana Ragin' Cajuns,,Sun Belt Conference,,Bob Marlin,,2010–11,
,Louisiana–Monroe Warhawks,,Sun Belt Conference,,Keith Richard,,2010–11,
,Louisiana Tech Bulldogs,,Conference USA,,Eric Konkol,,2015–16,
,Louisville Cardinals,,Atlantic Coast Conference,,Chris Mack,,2018–19,
,Loyola (Chicago) Ramblers,,Missouri Valley Conference,,Porter Moser,,2011–12,
,Loyola (Maryland) Greyhounds,,Patriot League,,Tavaras Hardy,,2018–19,
,Loyola Marymount Lions,,West Coast Conference,,Mike Dunlap,,2014–15,
,LSU Tigers,,Southeastern Conference,,Will Wade,,2017–18,
,Maine Black Bears,,America East Conference,,Richard Barron,,2018–19,
,Manhattan Jaspers,,Metro Atlantic Athletic Conference,,Steve Masiello,,2011–12,
,Marist Red Foxes,,Metro Atlantic Athletic Conference,,John Dunne,,2018–19,
,Marquette Golden Eagles,,Big East Conference,,Steve Wojciechowski,,2014–15,
,Marshall Thundering Herd,,Conference USA,,Dan D'Antoni,,2014–15,
,Maryland Terrapins,,Big Ten Conference,,Mark Turgeon,,2011–12,
,Maryland Eastern Shore Hawks,,Mid-Eastern Athletic Conference,,Clifford Reed,,2018–19,
,McNeese State Cowboys,,Southland Conference,,Heath Schroyer,,2018–19,
,Memphis Tigers,,American Athletic Conference,,Penny Hardaway,,2018–19,
,Mercer Bears,,Southern Conference,,Bob Hoffman,,2008–09,
,Miami Hurricanes,,Atlantic Coast Conference,,Jim Larrañaga,,2011–12,
,Miami RedHawks,,Mid-American Conference,,Jack Owens,,2017–18,
,Michigan Wolverines,,Big Ten Conference,,John Beilein,,2007–08,
,Michigan State Spartans,,Big Ten Conference,,Tom Izzo,,1995–96,
,Middle Tennessee Blue Raiders,,Conference USA,,Nick McDevitt,,2018–19,
,Milwaukee Panthers,,Horizon League,,Pat Baldwin,,2017–18,
,Minnesota Golden Gophers,,Big Ten Conference,,Richard Pitino,,2013–14,
,Mississippi State Bulldogs,,Southeastern Conference,,Ben Howland,,2015–16,
,Mississippi Valley State Delta Devils,,Southwestern Athletic Conference,,Andre Payne,,2014–15,
,Missouri Tigers,,Southeastern Conference,,Cuonzo Martin,,2017–18,
,Missouri State Bears,,Missouri Valley Conference,,Dana Ford,,2018–19,
,Monmouth Hawks,,Metro Atlantic Athletic Conference,,King Rice,,2011–12,
,Montana Grizzlies,,Big Sky Conference,,Travis DeCuire,,2014–15,
,Montana State Bobcats,,Big Sky Conference,,Brian Fish,,2014–15,
,Morehead State Eagles,,Ohio Valley Conference,,Preston Spradlin,,2016–17,
,Morgan State Bears,,Mid-Eastern Athletic Conference,,Todd Bozeman,,2006–07,
,Mount St. Mary's Mountaineers,,Northeast Conference,,Dan Engelstad,,2018–19,
,Murray State Racers,,Ohio Valley Conference,,Matt McMahon,,2015–16,
,Navy Midshipmen,,Patriot League,,Ed DeChellis,,2011–12,
,NC State Wolfpack,,Atlantic Coast Conference,,Kevin Keatts,,2017–18,
,Nebraska Cornhuskers,,Big Ten Conference,,Tim Miles,,2012–13,
,Nevada Wolf Pack,,Mountain West Conference,,Eric Musselman,,2015–16,
,New Hampshire Wildcats,,America East Conference,,Bill Herrion,,2005–06,
,New Mexico Lobos,,Mountain West Conference,,Paul Weir,,2017–18,
,New Mexico State Aggies,,Western Athletic Conference,,Chris Jans,,2017–18,
,New Orleans Privateers,,Southland Conference,,Mark Slessinger,,2011–12,
,Niagara Purple Eagles,,Metro Atlantic Athletic Conference,,Chris Casey,,2013–14,
,Nicholls State Colonels,,Southland Conference,,Austin Claunch,,2018–19,
,NJIT Highlanders,,Atlantic Sun Conference,,Brian Kennedy,,2016–17,
,Norfolk State Spartans,,Mid-Eastern Athletic Conference,,Robert Jones,,2013–14,
,North Alabama Lions,,Atlantic Sun Conference,,Tony Pujol,,2018–19,
,North Carolina Tar Heels,,Atlantic Coast Conference,,Roy Williams,,2003–04,
,North Carolina A&T Aggies,,Mid-Eastern Athletic Conference,,Jay Joyner,,2015–16,
,North Carolina Central Eagles,,Mid-Eastern Athletic Conference,,LeVelle Moton,,2009–10,
,North Dakota Fighting Hawks,,Summit League,,Brian Jones,,2006–07,
,North Dakota State Bison,,Summit League,,David Richman,,2014–15,
,North Florida Ospreys,,Atlantic Sun Conference,,Matthew Driscoll,,2009–10,
,North Texas Mean Green,,Conference USA,,Grant McCasland,,2017–18,
,Northeastern Huskies,,Colonial Athletic Association,,Bill Coen,,2006–07,
,Northern Arizona Lumberjacks,,Big Sky Conference,,Jack Murphy,,2012–13,
,Northern Colorado Bears,,Big Sky Conference,,Jeff Linder,,2016–17,
,Northern Illinois Huskies,,Mid-American Conference,,Mark Montgomery,,2011–12,
