Montez_Robinson,Season,Team,Overall,Conference,Standing,Postseason
Montez_Robinson,Alcorn State Braves (Southwestern Athletic Conference) (2015,present)
Montez_Robinson,2015,16,Alcorn State,15,15,13,5,2nd,
Montez_Robinson,2016,17,Alcorn State,18,14,13,5,2nd,
Montez_Robinson,2017,18,Alcorn State,11,21,7,11,8th,
Montez_Robinson,2018,19,Alcorn State,4,8,0,0,
Montez_Robinson,Alcorn State:,48,58 (.453),33,21 (.611),
Montez_Robinson,Total:,48,58 (.453),
